content,dealy,client,total op,union,split,time(u)(ms),time(s)(ms),mem(server+n clients),ot calls(server),max_ot,max_duration(ms),remark,Delay(47.100.34.153),Delay(47.99.201.21),,,,,,
"12,37,78/257,789,120/36/240,55,556/90,2",,6,2400,1440,960,7.11,4.31,265.51M+69.13M+48.27M+51.35M+47.87M+50.5M+52.29M ,2372,1768,45.19,,,,,,,,,
,,6,2400,1440,960,8.43,4.92,264.35M+65.07M+51.36M+47.51M+55.83M+47.28M+51.78M ,2375,1800,57.31,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
initial ufs: the fourth line of ufs.txt(100item),,,,,,,,,,,,,,,,,,,,
,,6,2400,1440,960,28.58,4.92,323.73M+59.09M+57.16M+60.76M+56.23M+53.91M+61M ,2377,1723,815.03,,,,,,,,,
,,6,2400,960,1440,18.45,7.99,322.06M+58.72M+59.77M+65.46M+62.58M+51.48M+57.38M ,2374,1787,89,,,,,,,,,
,,6,2400,1200,1200,23.89,6.74,332.92M+56.22M+59.16M+66.77M+56.5M+53.2M+60.68M ,2371,1744,116.41,,,,,,,,,
accelarate,,,,,,,,,,,,,,,,,,,,
,,6,2400,1200,1200,26.14,6.68,334.42M+57.62M+64.03M+58.5M+53.65M+61.87M+63.09M,,,,,,,,,,,,
,,6,2400,1200,1200,25.61,6.64,328.82M+61.28M+55.31M+63.99M+56.19M+57.11M+56.42M,,,,,,,,,,,,
,,6,2400,1200,1200,26.29,6.81,329.65M+61.93M+60.65M+57.77M+57.66M+55.25M+56.76M,,,,,,,,,,,,
,,6,2400,1200,1200,26.18,6.56,328.17M+52.45M+64.66M+62.37M+50.64M+61.38M+56.23M ,2378,1658,135.09,,,,,,,,,
,,6,3600,1800,1800,37.18,14.42,728.39M+122.49M+141.75M+133.95M+125.95M+145.38M+116.61M ,3571,2700,173.96,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"same total op, union percent, different client numbers",,,,,,,,,,,,,,,,,,,,
,,3,3600,2160,1440,37.11,10.97,504.93M+110.54M+201.28M+221.98M,3500,1898,177.62,,,,,,,,,
,,4,3600,2160,1440,42.91,10.96,603.48M+160.43M+168.52M+147.82M+170.46M ,3539,2216,181.99,,,,,,,,,
,,5,3600,2160,1440,42.63,10.04,649.93M+124.35M+122.4M+146.41M+163.53M+161.47M ,3569,2527,969.03,,,,,,,,,
,,6,3600,2160,1440,41.98,9.37,702.46M+130.49M+144.02M+121.48M+110.79M+134.2M+128.89M ,3577,2630,595.87,,,,,,,,,
,,8,3600,2160,1440,40.62,9.45,755.07M+115.5M+124.79M+81.25M+101.29M+104.37M+98.79M+104.85M+112.65M ,3589,2973,532.37,,,,,,,,,
,,9,3600,2160,1440,38.76,9.18,773.74M+90.83M+89.3M+90.76M+84.69M+107.25M+99.65M+95.83M+90.18M+114.99M ,3590,2983,191.1,,,,,,,,,
,,10,3600,2160,1440,39.92,9.63,783.43M+77.58M+102.23M+85.06M+85.33M+88.15M+86M+81.75M+90.67M+87.33M+97.32M ,3592,3008,688.73,,,,,,,,,
,,12,3600,2160,1440,39.39,8.88,813.46M+77.44M+77.67M+83.81M+73.33M+70.97M+75.33M+79.77M+67.69M+77.36M+85.27M+72.07M+78.01M ,3597,3135,1409.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"same total op,  client numbers, different union percent,",,,,,,,,,,,,,,,,,,,,
,0.3,6,2400,720,1680,17.26,8.14,333.54M+65.96M+61.81M+60.23M+54.16M+62.58M+63.5M ,2370,1762,96.8,,,,,,,,,
,0.4,6,2400,960,1440,22.42,8.35,323.66M+64.59M+53.27M+62.63M+53.35M+61.7M+60.82M ,2380,1759,107.99,,,,,,,,,
,0.5,6,2400,1200,1200,30.17,6.76,332.32M+58.42M+58.56M+64.23M+60.17M+53.05M+60.76M ,2377,1736,416.81,,,,,,,,,
,0.6,6,2400,1440,960,30.46,5.29,321.3M+65.39M+58.35M+52.33M+59.65M+52.87M+54.2M ,2377,1719,248.65,,,,,,,,,
,0.7,6,2400,1680,720,33.47,3.63,303.63M+57.66M+56.99M+59.55M+53.64M+57.4M+52.99M ,2372,1583,683.3,,,,,,,,,
,0.8,6,2400,1920,480,35.43,2.79,275.49M+50.6M+55.51M+53.26M+52.62M+53.57M+52.38M ,2374,1575,793.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"same total op,  client numbers, union percent, different delay(100item)",,,,,,,,,,,,,,,,,,,,
5ms,,6,2400,960,1440,19.63,7.77,323.07M+62.51M+61.1M+61.36M+54.89M+54.58M+58.11M ,2384,1747,114.74,,,,,,,,,
15ms,,6,2400,960,1440,18.93,7.61,317.76M+63.39M+69.66M+58.43M+53.27M+54.08M+47.23M ,2396,1677,109.79,,,,,,,,,
25ms,,6,2400,960,1440,19.84,7.72,314.6M+67.71M+64.53M+63.98M+50.88M+45.4M+46.33M,,,,,, ,2382,1600,122.75,,,
35ms,,6,2400,960,1440,18.8,7.42,316.09M+66.94M+68.97M+67.71M+41.58M+47.58M+41.51M ,2391,1574,118.02,,,,,,,,,
45ms,,6,2400,960,1440,18.74,7.01,313.86M+70.45M+72.72M+65.58M+39.08M+37.51M+45.35M ,2382,1563,100.84,,,,,,,,,
55ms,,6,2400,960,1440,19.39,7.04,310.73M+66.52M+72.61M+71.58M+39.69M+36.42M+41.57M ,2384,1478,117.45,,,,,,,,,
65ms,,6,2400,960,1440,19.7,6.84,301.26M+67.85M+71.73M+69.76M+37.98M+33.46M+38.86M ,2380,1450,128.71,,,,,,,,,
75ms,,6,2400,960,1440,19.57,6.69,300.99M+75.9M+68.58M+68.84M+34.41M+38.79M+32.49M ,2383,1612,111.39,,,,,,,,,
5ms,,8,2400,960,1440,22.29,7.29,356.11M+50.92M+53.61M+49.13M+46.81M+46.14M+50.34M+41.14M+48.84M ,2392,1871,108.61,,,,,,,,,
15ms,,8,2400,960,1440,21.05,7.32,358.79M+53.14M+51.96M+54.01M+50.54M+42.85M+42.97M+45.96M+41.51M ,2395,1915,120.64,,,,,,,,,
25ms,,8,2400,960,1440,21.53,6.67,355.41M+50.34M+51.92M+73.67M+51.39M+35.81M+38.55M+37.57M+39.78M ,2391,1730,147.16,,,,,,,,,
35ms,,8,2400,960,1440,22.11,6.98,354.54M+56.96M+56.45M+57.03M+57.24M+34.73M+39.17M+39.52M+38.79M ,2390,1841,136.77,,,,,,,,,
